기후기술분류별(1),기후기술분류별(2),2019,2019.1,2019.2,2019.3,2019.4,2019.5,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6
기후기술분류별(1),기후기술분류별(2),전체,100억 원 미만,100억 원 이상 600억 원 미만,600억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관),전체,100억 원 미만,100억 원 이상 500억 원 미만,500억 원 이상 1000억 원 미만,1000억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관),전체,100억 원 미만,100억 원 이상 500억 원 미만,500억 원 이상 1000억 원 미만,1000억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
합계,소계,170123458,6976753,10302641,13965684,117872622,21005760,168685256,7561361,9736318,6600940,8714522,126249727,9822388,200365088,8084785,10288648,6552930,15487627,152908559,7042539
감축,소계,154538820,5458914,8816865,13024364,113305498,13933179,152213509,5768574,8032601,5726027,7749411,115378414,9558481,180587086,6330877,8171905,5723378,14136117,140867434,5357376
감축,비재생에너지,10446545,140263,240829,228645,1360490,8476319,6086836,133160,32228,20708,120061,438019,5342661,7356610,187200,138344,100857,157481,3819185,2953543
감축,재생에너지,16605228,1742743,2668879,3303267,8381834,508505,20410475,2060838,2054328,2218334,1500651,11912757,663568,20936657,2150299,2062003,2125838,1448527,12565082,584908
감축,신에너지,11756352,137044,226848,27375,11365085,0,11539458,296519,272573,322581,142135,10500674,4974,12263948,481044,352361,391735,147164,10884602,7042
감축,에너지저장,54714293,442886,1647673,1756739,50634424,232571,43323673,419886,652848,936370,604347,40476074,234148,43203652,414204,583126,859273,634393,40501459,211198
감축,송배전&전력IT,13660758,446735,455301,640204,11473067,645451,10341593,842601,760353,750664,1387672,4321620,2278682,22268351,911955,802056,612850,1375359,18218236,347894
감축,에너지수요,45648146,2502351,3510682,6925672,28652228,4057214,59000220,1996698,4212422,1477372,3973328,46329587,1010813,65937348,2081242,4106257,1605103,10252391,46642682,1249672
감축,온실가스 고정,1707498,46894,66654,142462,1438369,13119,1511254,18872,47848,-,21217,1399682,23634,8620520,104933,127756,27721,120803,8236189,3118
적응,소계,13796427,1419358,1287332,725937,3291221,7072581,14683310,1652910,1583701,716436,618723,9847633,263907,17750438,1585523,1968392,635749,1035162,10886872,1638739
적응,농업&축산,4301301,450574,261322,239931,2616954,732521,3722596,522585,182436,135205,95554,2712690,74126,3911818,342996,287245,91158,228482,2722050,239887
적응,물관리,9495126,968784,1026010,486006,674267,6340060,10370154,1035412,1162961,464110,500916,7091323,115433,11071516,1068979,1213058,512155,542985,7646503,87836
적응,예측･모니터링,-,-,-,-,-,-,81257,26758,5781,-,-,-,48717,397990,34744,74214,26220,0,-,262813
적응,해양수산연안,-,-,-,-,-,-,59373,10923,12061,22389,-,-,14000,41380,12148,16806,2000,9337,-,1089
적응,건강,-,-,-,-,-,-,386857,24129,202122,94732,22253,43620,-,1982099,64745,290702,0,133218,518319,975115
적응,산림육상,-,-,-,-,-,-,63073,33103,18339,-,-,-,11631,345634,61911,86367,4217,121140,-,72000
융복합,소계,1788211,98481,198444,215383,1275903,0,1788438,139878,120015,158478,346388,1023679,0,2027564,168385,148352,193803,316348,1154252,46424
융복합,감축 및 적응 융복합,1788211,98481,198444,215383,1275903,0,1788438,139878,120015,158478,346388,1023679,0,2027564,168385,148352,193803,316348,1154252,46424
